2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 121
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 141
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 142
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 143
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 144
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 181
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 238
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 239
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 240
2026-09-25 17:31:02,751 INFO  ExportHelperExtension.cs: 1402 - Fixing 241
2026-09-25 17:31:02,767 INFO  ExportHelperExtension.cs: 1402 - Fixing 242
2026-09-25 17:31:02,767 INFO  ExportHelperExtension.cs: 1402 - Fixing 243
2026-09-25 17:31:02,767 INFO  ExportHelperExtension.cs: 1402 - Fixing 225
2026-09-25 17:31:02,767 INFO  ExportHelperExtension.cs: 1402 - Fixing 247
2026-09-25 17:31:02,767 INFO  ExportHelperExtension.cs: 1402 - Fixing 248
2026-09-25 17:31:02,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 249
2026-09-25 17:31:02,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 250
2026-09-25 17:31:02,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 251
2026-09-25 17:31:02,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 252
2026-09-25 17:31:02,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 253
2026-09-25 17:31:02,772 INFO  ExportHelperExtension.cs: 1402 - Fixing -1
2026-09-25 17:31:02,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-09-25 17:31:02,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 171
2026-09-25 17:31:02,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 182
2026-09-25 17:31:02,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 183
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 184
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 185
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 189
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 190
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 191
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 192
2026-09-25 17:31:02,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 193
2026-09-25 17:31:09,031 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-09-25 17:31:09,031 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
